万荣县混凝土外加剂协会	2019	4
三亚市婚庆旅游行业协会	2019	3
上海区块链技术协会	2019	4
上海医药行业协会	2019	5
上海医药行业协会	2020	2
上海市交通运输行业协会	2019	10
上海市供水行业协会	2019	2
上海市供水行业协会	2020	1
上海市信息家电行业协会	2017	1
上海市信息家电行业协会	2018	2
上海市信息家电行业协会	2019	2
上海市信息系统质量技术协会	2019	1
上海市制冷学会	2019	1
上海市化学建材行业协会	2018	6
上海市化学建材行业协会	2019	12
上海市单用途预付卡协会	2019	3
上海市司法鉴定协会	2018	1
上海市司法鉴定协会	2019	2
上海市司法鉴定理论研究会	2019	1
上海市品牌授权经营企业协会	2019	1
上海市商业联合会	2020	3
上海市多媒体行业协会	2019	1
上海市安装行业协会	2018	2
上海市室内环境净化行业协会	2018	3
上海市室内环境净化行业协会	2019	4
上海市室内环境净化行业协会	2020	1
上海市家具行业协会	2019	1
上海市崇明区河蟹协会	2019	1
上海市工具行业协会	2018	1
上海市工商联国际物流商会	2020	3
上海市工程建设质量管理协会	2019	1
上海市工程建设质量管理协会	2020	3
上海市工程设备监理行业协会	2020	2
上海市康复医学会	2018	1
上海市康复医学会	2019	2
上海市康复医学会	2020	4
上海市康复器具协会	2019	5
上海市建筑五金门窗行业协会	2020	1
上海市建筑材料行业协会	2018	2
上海市建筑材料行业协会	2019	8
上海市建设协会	2017	1
上海市建设协会	2018	19
上海市建设协会	2019	18
上海市建设协会	2020	6
上海市徐汇区食品药品安全协会	2019	2
上海市新材料协会	2019	2
上海市服饰学会	2019	1
上海市标准化协会	2019	2
上海市汽车销售行业协会	2018	1
上海市浦东新区农协会	2018	12
上海市浦东新区女带头人协会	2019	2
上海市浦东新区电子商务行业协会	2019	1
上海市消防协会	2019	4
上海市物流协会	2019	1
上海市物联网行业协会	2018	10
上海市物联网行业协会	2019	8
上海市环境保护工业行业协会	2018	2
上海市环境保护工业行业协会	2019	2
上海市瓜果行业协会	2020	1
上海市电力工程行业协会	2019	1
上海市电子电器技术协会	2019	1
上海市电梯行业协会	2019	3
上海市畜牧兽医学会	2020	5
上海市皮革技术协会	2018	1
上海市皮革技术协会	2019	2
上海市皮革技术协会	2020	1
上海市眼镜行业协会	2018	3
上海市硅酸盐学会	2018	1
上海市硅酸盐学会	2019	2
上海市绿色建筑协会	2019	4
上海市网购商会	2017	1
上海市聚氨酯工业协会	2019	1
上海市肉类行业协会	2019	1
上海市自行车行业协会	2017	2
上海市自行车行业协会	2019	4
上海市自行车行业协会	2020	3
上海市节能工程技术协会	2019	1
上海市节能环保服务业协会	2020	1
上海市装饰装修行业协会	2018	1
上海市装饰装修行业协会	2019	3
上海市计算机行业协会	2018	5
上海市计算机行业协会	2019	9
上海市计量协会	2018	1
上海市计量协会	2019	5
上海市认证协会	2019	5
上海市认证协会	2020	6
上海市设施农业装备行业协会	2019	4
上海市质量技术应用统计学会	2020	1
上海市软件行业协会	2018	4
上海市软件行业协会	2019	5
上海市轻工业协会	2019	1
上海市金山区质量技术协会	2019	1
上海市长宁区旅游协会	2019	1
上海市长宁区社会组织联合会	2020	1
上海市集成电路行业协会	2020	1
上海市青浦区医学会	2019	1
上海市青浦区质量协会	2018	1
上海市青浦区质量协会	2020	1
上海市静安区食品药品安全管理协会	2019	1
上海市食品安全工作联合会	2019	3
上海市食品接触材料协会	2019	1
上海市食品添加剂和配料行业协会	2017	2
上海市食品添加剂和配料行业协会	2018	2
上海市餐饮烹饪行业协会	2017	1
